Name,Category,Sub-Category,Data Collection step,Id
Tommy Robinson	Alt-*	Alt-*	3	UC6wdP5hTf_phre6Q3kFiV2g
Actual Justice Warrior	Alt-*	Alt-*	3	UCzzLIhDbFYU46T4VFBz_m_g
Liberty Hangout	Alt-*	Alt-*	3	UCQMb7c66tJ7Si8IrWHOgAPg
fringeelements	Alt-*	Alt-*	3	UC2w1CQqPli4w94-PCg2UvJQ
This is Europa	Alt-*	Alt-*	3	UCBceihEYR7elOoeWTuDhAzA
AllNationsParty	Alt-*	Alt-*	3	UC2AopvAmRGD2rGjG6PK97Hg
LibertarianRealist2	Alt-*	Alt-*	3	UC3FqYK9UCKtmcTwSYo7mwpw
LaughingMan0X	Alt-*	Alt-*	3	UCr6gdokI-jE_T1b5AmOOdxg
Oswald Spengler	Alt-*	Alt-*	3	UCIfnKm98q78j2ZNcfSQhhCQ
Marie Cachet	Alt-*	Alt-*	3	UCLM6JlQkQ9tltBL9Bipci9g
Tea Clips	Alt-*	Alt-*	3	UCZMoAfVZKRS2HKA_gTPQY0g
Alt Hype Streams	Alt-*	Alt-*	3	UCkbPk0OHdeOnjciSgdzxuzQ
Serp Kerp	Alt-*	Alt-*	3	UC0b-vEnPRxtkMJj7xxDnJIA
ataxin	Alt-*	Alt-*	3	UClEDJq5JqDRGo8u8_lYO4gw
The Revolutionary Conservative	Alt-*	Alt-*	3	UCRr7mGBwURyRGM2BRPV3hNQ
The Propertarian Institute	Alt-*	Alt-*	3	UCpJykKGRQ4601DzVkkGk7bA
Danny 1488	Alt-*	Alt-*	3	UCWoPKumdlQTSw1M4UPsYXzQ
Borzoi Boskovic	Alt-*	Alt-*	3	UCao3EH2t9wOFPmu2F4i4bag
Truth Against The World	Alt-*	Alt-*	3	UCoWQunH1zvFa6u3IoMXQjRw
Aydin Paladin	Alt-*	Alt-*	3	UCUowFWIWGw6Pv2JqfEj8njQ
The Leftovers	Alt-*	Alt-*	3	UCmzjD8K7LfpkYs-hs3fZP1w
VertigoPolitix	Alt-*	Alt-*	3	UCP-rwC3mqNH1cVYYVZHziKw
Sanity 4 Sweden	Alt-*	Alt-*	3	UCFSx08Ew0iiWKyAz54Opdhw
OnlineWipe	Alt-*	Alt-*	3	UC7-24nwy8Zg_Yweu6ujnZjA
Matrix Wisdom	Alt-*	Alt-*	3	UCyYocf7ysbu2Fa2PWs3kE0A
NateTalksToYou	Alt-*	Alt-*	3	UCvBSa6Tzhiz7MrVI_DkwvWA
Slightly Offens*ve	Alt-*	Alt-*	3	UCMRxoFJPZiBcxgFzxN0ao-w
Jericho Green	Alt-*	Alt-*	3	UCYY-xsfMg0TKz-gwQOMhcWA
The Toxic Male Clips	Alt-*	Alt-*	3	UCfMd9UCvNrwoF9Q90_thPlQ
brianoflondon	Alt-*	Alt-*	3	UCu76O9Ye9k633b2VaLg9cPA
Demirep	Alt-*	Alt-*	4	UCz-y9OLmILUM1HGCE4Ffbkw
MR. OBVIOUS	Alt-*	Alt-*	4	UCyznn3etx_6fSK7576JSrKg
SolidShibe	Alt-*	Alt-*	4	UCEck8KzJ_vDtrOBHfoT5q4Q
Awakened Saxon	Alt-*	Alt-*	4	UCVyzFlPnWjqrgVljH8QUiCQ
NewEuropeANP	Alt-*	Alt-*	4	UC7FwgvmNdQC_3KJhew7cfNQ
InvincibleNumanist	Alt-*	Alt-*	4	UCI3rQP3WFT_GwNRtnjHHqzw
SkidRowRadio	Alt-*	Alt-*	4	UCrPxYLadOjSyh3iQkvw_SJw
IRmep Stream	Alt-*	Alt-*	4	UCO7RCW2ep2QtzYGMz6g7Uqw
Toad McKinley	Alt-*	Alt-*	4	UCDPujMbho9Nq-iB7aTJsMUQ
Mad at the Internet	Alt-*	Alt-*	4	UCgpVO5oxAh7oMk3vynU-2Vg
Mister Metokur	Alt-*	Alt-*	4	UCfYbb7nga6-icsFWWgS-kWw
